Claim_ID,Claim_Date,Claim_Payment,Cause_of_Loss,Policy_ID
BDFSX3U,10/21/2023,178887,Striking Submerged Object,648363
358B3VD,2/4/2023,20538,Grounding,665794
3CK3O9X,10/15/2023,41326,Grounding,261257
QSUYWS1,9/17/2023,138953,Sinking,273295
R1AEASS,7/7/2023,17652,Hurricane,850878
8TLVP60,8/14/2023,154788,Striking Submerged Object,974920
NS8721A,4/6/2023,167198,Sinking,532352
VLB285V,8/1/2023,37522,Grounding,994506
FGT2KRM,9/27/2023,22567,Collision,250614
VBCS41M,9/23/2023,89774,Hurricane,916410
DD2727R,8/2/2023,5926,Grounding,790959
96GXXM8,6/24/2023,15343,Striking Submerged Object,719603
VN0DHV2,5/4/2023,7577,Hurricane,551889
ZD9B5B0,8/3/2023,7967,Striking Submerged Object,896336
BUDIV49,10/18/2023,34075,Collision,528958
3SDAR9O,8/27/2023,20819,Grounding,426829
ROJW8B3,6/20/2023,20588,Striking Submerged Object,542935
Y19N2PL,7/18/2023,33440,Collision,631084
SPW1NIX,6/17/2023,30368,Collision,846110
5YJ0BVM,5/22/2023,156901,Sinking,792150
FBLKEFO,11/13/2023,7331,Striking Submerged Object,972500
E998FR4,9/10/2023,26575,Hurricane,957211
Y5SZ2G2,3/6/2023,62601,Grounding,798682
QOJIZ04,5/14/2023,240220,Sinking,748220
00C76VA,6/8/2023,27881,Collision,851987
Z66LZQD,8/10/2023,34860,Striking Submerged Object,464359
LNCWKBW,5/22/2023,102204,Hurricane,455167
09O6ZA7,8/19/2023,22851,Grounding,121429
QE1ZIMY,4/4/2023,10122,Grounding,778993
O69NKGW,9/9/2023,28557,Striking Submerged Object,584778
COT1ONZ,8/9/2023,97175,Sinking,989835
K4MRZKS,1/21/2023,82174,Sinking,479573
L4WF27I,7/20/2023,176775,Striking Submerged Object,552210
BDZKYSK,10/3/2023,42473,Collision,856658
UKQAKUJ,8/17/2023,13926,Hurricane,876662
MSF9LOB,3/11/2023,31823,Striking Submerged Object,466271
AK0174I,9/11/2023,5702,Grounding,377035
JLCFVFM,6/2/2023,92910,Sinking,970370
LALSM3Q,4/22/2023,162435,Sinking,896097
IQBV7C4,11/11/2023,23661,Grounding,432751
PZJ1H87,8/3/2023,23632,Hurricane,867997
6RRDJWV,4/15/2023,6791,Grounding,196493
9Z8NU20,1/7/2023,139461,Sinking,315300
FJQMZ5B,7/5/2023,182030,Collision,311020
BU8T232,6/24/2023,228382,Hurricane,987582
KWEIPK9,6/8/2023,22853,Grounding,495290
18PELFW,7/26/2023,33086,Collision,273644
6SODD65,1/26/2023,35112,Collision,553957
61VLGIP,5/12/2023,24659,Collision,217553
AD7ITD8,6/4/2023,142006,Striking Submerged Object,289018
PL8YBQB,6/4/2023,251091,Sinking,102203
K4ONRLH,8/18/2023,257535,Sinking,426595
V837Z3P,6/20/2023,9247,Hurricane,283008
JNY3VJW,7/14/2023,47617,Hurricane,304404
0SD4FAP,7/17/2023,24680,Collision,651022
ZIBX5E2,7/20/2023,42904,Hurricane,525724
NPBUUOF,8/3/2023,235909,Sinking,710488
AIEF0XX,12/3/2023,38831,Grounding,966313
RFBUHLK,5/3/2023,14893,Striking Submerged Object,410220
FESXKG0,1/24/2023,33006,Grounding,513085
N1JJF5S,7/8/2023,18459,Hurricane,364848
BXXBJ8U,9/16/2023,85698,Sinking,113280
FPDF4AR,8/1/2023,147205,Collision,458823
BG8J9FE,7/20/2023,211833,Hurricane,471071
NJXU3FR,6/19/2023,252165,Grounding,120581
L9QDH4K,7/14/2023,35413,Collision,894945
JCQI1QO,4/26/2023,10754,Collision,114928
ERG59X6,9/5/2023,23102,Striking Submerged Object,841803
F0MPUEZ,9/2/2023,77834,Sinking,958677
WOPHQ5R,7/4/2023,277301,Grounding,928514
MHWYVBH,8/14/2023,58135,Collision,348313
9PHKM14,4/16/2023,18329,Hurricane,865798
XJDZ1E3,10/3/2023,169153,Hurricane,579672
VEWHYK8,6/15/2023,23631,Striking Submerged Object,957187
LS9LW14,8/21/2023,52158,Grounding,844062
HW4IVI6,5/16/2023,21307,Hurricane,201976
FN4KOWT,7/28/2023,40181,Hurricane,281966
41O5RB6,10/17/2023,154431,Sinking,112675
PP1HYRO,7/1/2023,34296,Grounding,251936
BRYI6NG,7/20/2023,15198,Hurricane,447665
0F0IYNF,11/4/2023,26386,Collision,622167
VWOD159,6/27/2023,38094,Hurricane,417507
7VUKUC7,5/12/2023,35460,Striking Submerged Object,857648
68S5QFI,7/9/2023,54757,Collision,741959
